protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000001_000001_000001_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950257
Obelisk_000001_000001_000001_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950257
Obelisk_000001_000001_000002_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950468
Obelisk_000001_000001_000002_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950468
Obelisk_000001_000001_000003_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950297
Obelisk_000001_000001_000003_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950297
Obelisk_000001_000001_000004_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950395
Obelisk_000001_000001_000004_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950395
Obelisk_000001_000001_000005_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950446
Obelisk_000001_000001_000005_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950446
Obelisk_000001_000001_000006_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000006_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000007_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000007_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000008_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000008_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000009_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000009_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000010_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000010_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000011_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000011_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000012_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000012_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000013_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000013	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000013_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000013	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000014_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000014	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000014_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000014	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000015_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000015	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000015_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000015	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000016_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000016	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000017_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000017	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000017_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000017	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000018_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000018	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000018_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000018	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000019_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000019	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000019_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000019	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000020_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000020	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000020_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000020	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000021_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000021	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000021_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000021	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000022_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000022	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000022_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000022	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000023_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000023	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000023_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000023	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000024_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000024	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000024_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000024	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000025_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000025	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000025_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000025	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000026_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000026	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000026_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000026	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000027_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000027	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000027_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000027	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000028_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000028	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000028_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000028	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000029_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000029	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000029_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000029	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000030_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000030	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000030_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000030	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000031_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000031	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000031_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000031	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000032_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000032	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000032_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000032	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000033_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000033	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR10853110
Obelisk_000001_000001_000033_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000033	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR10853110
Obelisk_000001_000001_000034_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000034	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949216
Obelisk_000001_000001_000034_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000034	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949216
Obelisk_000001_000001_000035_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000035	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5963920
Obelisk_000001_000001_000035_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000035	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5963920
Obelisk_000001_000001_000036_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000036	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949245
Obelisk_000001_000001_000036_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000036	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949245
Obelisk_000001_000001_000037_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000037	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950275
Obelisk_000001_000001_000037_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000037	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950275
Obelisk_000001_000001_000038_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000038	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950280
Obelisk_000001_000001_000038_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000038	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950280
Obelisk_000001_000001_000039_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000039	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950308
Obelisk_000001_000001_000039_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000039	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950308
Obelisk_000001_000001_000040_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000040	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950313
Obelisk_000001_000001_000040_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000040	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950313
Obelisk_000001_000001_000041_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000041	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950410
Obelisk_000001_000001_000041_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000041	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950410
Obelisk_000001_000001_000042_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000042	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5963923
Obelisk_000001_000001_000042_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000042	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5963923
Obelisk_000001_000001_000043_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000043	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949326
Obelisk_000001_000001_000043_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000043	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949326
Obelisk_000001_000001_000044_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000044	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5947911
Obelisk_000001_000001_000044_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000044	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5947911
Obelisk_000001_000001_000045_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000045	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human metagenome | notes=.	SRR4893028
Obelisk_000001_000001_000045_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000045	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human metagenome | notes=.	SRR4893028
Obelisk_000001_000001_000046_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000046	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR6038359
Obelisk_000001_000001_000046_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000046	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR6038359
Obelisk_000001_000001_000047_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000047	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR6038486
Obelisk_000001_000001_000047_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000047	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR6038486
Obelisk_000001_000001_000048_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000048	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR9118115
Obelisk_000001_000001_000048_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000048	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR9118115
Obelisk_000001_000001_000049_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000049	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6757470
Obelisk_000001_000001_000049_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000049	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6757470
Obelisk_000001_000001_000050_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000050	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6757471
Obelisk_000001_000001_000050_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000050	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6757471
Obelisk_000001_000001_000051_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000051	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760316
Obelisk_000001_000001_000051_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000051	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760316
Obelisk_000001_000001_000052_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000052	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760317
Obelisk_000001_000001_000052_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000052	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760317
Obelisk_000001_000001_000053_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000053	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760318
Obelisk_000001_000001_000053_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000053	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760318
Obelisk_000001_000001_000054_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000054	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760438
Obelisk_000001_000001_000054_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000054	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760438
Obelisk_000001_000001_000055_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000055	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760691
Obelisk_000001_000001_000055_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000055	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760691
Obelisk_000001_000001_000056_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000056	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760692
Obelisk_000001_000001_000056_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000056	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760692
Obelisk_000001_000001_000057_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000057	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760693
Obelisk_000001_000001_000057_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000057	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760693
Obelisk_000001_000001_000058_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000058	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760694
Obelisk_000001_000001_000058_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000058	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760694
Obelisk_000001_000001_000059_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000059	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760695
Obelisk_000001_000001_000059_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000059	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760695
Obelisk_000001_000001_000060_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000060	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760696
Obelisk_000001_000001_000060_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000060	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760696
Obelisk_000001_000001_000061_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000061	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760697
Obelisk_000001_000001_000061_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000061	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760697
Obelisk_000001_000001_000062_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000062	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6798972
Obelisk_000001_000001_000062_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000062	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6798972
Obelisk_000001_000001_000063_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000063	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR4435769
Obelisk_000001_000001_000063_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000063	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR4435769
Obelisk_000002_000001_000001_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000001_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
